qid,name,gender,year,prize,portion,motivation,affiliation
Q192556,David Trimble,male,1998,Peace,1/2,for their efforts to find a peaceful solution to the conflict in Northern Ireland,NA
Q193630,John Hume,male,1998,Peace,1/2,for their efforts to find a peaceful solution to the conflict in Northern Ireland,NA
Q49330,NA,NA,1999,Peace,1,in recognition of the organisation's pioneering humanitarian work on several continents,NA
Q45785,Kim Dae-jung,male,2000,Peace,1,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",NA
Q1254,Kofi Atta Annan,male,2001,Peace,1/2,for their work for a better organized and more peaceful world,NA
Q1065,NA,NA,2001,Peace,1/2,for their work for a better organized and more peaceful world,NA
Q23685,James Earl Carter,male,2002,Peace,1,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",NA
Q131152,Shirin Ebadi,female,2003,Peace,1,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,NA
Q46795,Wangari Muta Maathai,female,2004,Peace,1,"for her contribution to sustainable development, democracy and peace",NA
Q133308,Mohamed ElBaradei,male,2005,Peace,1/2,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,NA
Q41984,NA,NA,2005,Peace,1/2,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,NA
Q43969,Muhammad Yunus,male,2006,Peace,1/2,for their efforts to create economic and social development from below,NA
Q188567,NA,NA,2006,Peace,1/2,for their efforts to create economic and social development from below,NA
Q19673,Albert Arnold (Al) Gore  Jr.,male,2007,Peace,1/2,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",NA
Q171183,NA,NA,2007,Peace,1/2,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",NA
Q29230,Martti Ahtisaari,male,2008,Peace,1,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",NA
Q76,Barack Hussein Obama,male,2009,Peace,1,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,NA
Q41617,Liu Xiaobo,male,2010,Peace,1,for his long and non-violent struggle for fundamental human rights in China,NA
Q43179,Ellen Johnson Sirleaf,female,2011,Peace,1/3,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,NA
Q107037,Leymah Gbowee,female,2011,Peace,1/3,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,NA
Q104622,Tawakkol Karman,female,2011,Peace,1/3,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,NA
Q458,NA,NA,2012,Peace,1,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",NA
Q842490,NA,NA,2013,Peace,1,for its extensive efforts to eliminate chemical weapons,NA
Q3442375,Kailash Satyarthi,male,2014,Peace,1/2,for their struggle against the suppression of children and young people and for the right of all children to education,NA
Q32732,Malala Yousafzai,female,2014,Peace,1/2,for their struggle against the suppression of children and young people and for the right of all children to education,NA
Q21078159,NA,NA,2015,Peace,1,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,NA
Q57311,Juan Manuel Santos,male,2016,Peace,1,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,NA
Q547940,NA,NA,2017,Peace,1,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,NA
Q1187542,Denis Mukwege,male,2018,Peace,1/2,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,NA
Q22007112,Nadia Murad Basee Taha,female,2018,Peace,1/2,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,NA
Q50365049,Abiy Ahmed Ali,male,2019,Peace,1,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",NA
Q204344,NA,NA,2020,Peace,1,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",NA
Q1823418,Dmitry Andreyevich Muratov,male,2021,Peace,1/2,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",NA
Q6761526,Maria Ressa,female,2021,Peace,1/2,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",NA
Q118263,Ales Bialiatski ,male,2022,Peace,1/3,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",NA
Q114452906,NA,NA,2022,Peace,1/3,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",NA
Q851563,NA,NA,2022,Peace,1/3,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",NA
Q4967771,Narges Mohammadi,female,2023,Peace,1,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,NA
Q1989908,NA,NA,2024,Peace,1,for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again,NA
Q439564,Maria Corina Machado,female,2025,Peace,1,for her tireless work promoting democratic rights for the people of Venezuela and for her struggle to achieve a just and peaceful transition from dictatorship to democracy,NA
Q35149,Wilhelm Conrad Röntgen,male,1901,Physics,1,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Munich University
Q41688,Hendrik Antoon Lorentz,male,1902,Physics,1/2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Leiden University
Q79000,Pieter Zeeman,male,1902,Physics,1/2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Amsterdam University
Q41269,Antoine Henri Becquerel,male,1903,Physics,1/2,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,École Polytechnique
Q7186,"Marie Curie, née Skłodowska",female,1903,Physics,1/4,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,NA
Q37463,Pierre Curie,male,1903,Physics,1/4,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)
Q83297,Lord Rayleigh (John William Strutt),male,1904,Physics,1,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Royal Institution of Great Britain
Q57063,Philipp Eduard Anton von Lenard,male,1905,Physics,1,for his work on cathode rays,Kiel University
Q47285,Joseph John Thomson,male,1906,Physics,1,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,University of Cambridge
Q127234,Albert Abraham Michelson,male,1907,Physics,1,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago
Q133232,Gabriel Lippmann,male,1908,Physics,1,for his method of reproducing colours photographically based on the phenomenon of interference,Sorbonne University
Q36488,Guglielmo Marconi,male,1909,Physics,1/2,in recognition of their contributions to the development of wireless telegraphy,Marconi Wireless Telegraph Co. Ltd.
Q57077,Karl Ferdinand Braun,male,1909,Physics,1/2,in recognition of their contributions to the development of wireless telegraphy,Strasbourg University
Q131721,Johannes Diderik van der Waals,male,1910,Physics,1,for his work on the equation of state for gases and liquids,Amsterdam University
Q57068,Wilhelm Wien,male,1911,Physics,1,for his discoveries regarding the laws governing the radiation of heat,Würzburg University
Q160518,Nils Gustaf Dalén,male,1912,Physics,1,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Swedish Gas-Accumulator Co.
Q62891,Heike Kamerlingh Onnes,male,1913,Physics,1,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Leiden University
Q57067,Max von Laue,male,1914,Physics,1,for his discovery of the diffraction of X-rays by crystals,Frankfurt-on-the-Main University
Q133747,Sir William Henry Bragg,male,1915,Physics,1/2,for their services in the analysis of crystal structure by means of X-rays,University College
Q131729,William Lawrence Bragg,male,1915,Physics,1/2,for their services in the analysis of crystal structure by means of X-rays,Victoria University
Q160522,Charles Glover Barkla,male,1917,Physics,1,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Edinburgh University
Q9021,Max Karl Ernst Ludwig Planck,male,1918,Physics,1,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Berlin University
Q57092,Johannes Stark,male,1919,Physics,1,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Greifswald University
Q123026,Charles Edouard Guillaume,male,1920,Physics,1,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Bureau International des Poids et Mesures (International Bureau of Weights and Measures)
Q937,Albert Einstein,male,1921,Physics,1,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik
Q7085,Niels Henrik David Bohr,male,1922,Physics,1,for his services in the investigation of the structure of atoms and of the radiation emanating from them,Copenhagen University
Q130975,Robert Andrews Millikan,male,1923,Physics,1,for his work on the elementary charge of electricity and on the photoelectric effect,California Institute of Technology (Caltech)
Q170741,Karl Manne Georg Siegbahn,male,1924,Physics,1,for his discoveries and research in the field of X-ray spectroscopy,Uppsala University
Q57070,Gustav Ludwig Hertz,male,1925,Physics,1/2,for their discovery of the laws governing the impact of an electron upon an atom,Halle University
Q57066,James Franck,male,1925,Physics,1/2,for their discovery of the laws governing the impact of an electron upon an atom,Goettingen University
Q134085,Jean Baptiste Perrin,male,1926,Physics,1,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",Sorbonne University
Q127944,Arthur Holly Compton,male,1927,Physics,1/2,for his discovery of the effect named after him,University of Chicago
Q162900,Charles Thomson Rees Wilson,male,1927,Physics,1/2,for his method of making the paths of electrically charged particles visible by condensation of vapour,University of Cambridge
Q169330,Owen Willans Richardson,male,1928,Physics,1,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,London University
Q83331,Prince Louis-Victor Pierre Raymond de Broglie,male,1929,Physics,1,for his discovery of the wave nature of electrons,"Sorbonne University, Institut Henri Poincaré"
Q60429,Sir Chandrasekhara Venkata Raman,male,1930,Physics,1,for his work on the scattering of light and for the discovery of the effect named after him,Calcutta University
Q40904,Werner Karl Heisenberg,male,1932,Physics,1,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",Leipzig University
Q9130,Erwin Schrödinger,male,1933,Physics,1/2,for the discovery of new productive forms of atomic theory,Berlin University
Q47480,Paul Adrien Maurice Dirac,male,1933,Physics,1/2,for the discovery of new productive forms of atomic theory,University of Cambridge
Q80884,James Chadwick,male,1935,Physics,1,for the discovery of the neutron,Liverpool University
Q169366,Carl David Anderson,male,1936,Physics,1/2,for his discovery of the positron,California Institute of Technology (Caltech)
Q78520,Victor Franz Hess,male,1936,Physics,1/2,for his discovery of cosmic radiation,Innsbruck University
Q133222,Clinton Joseph Davisson,male,1937,Physics,1/2,for their experimental discovery of the diffraction of electrons by crystals,Bell Telephone Laboratories
Q133846,George Paget Thomson,male,1937,Physics,1/2,for their experimental discovery of the diffraction of electrons by crystals,London University
Q8753,Enrico Fermi,male,1938,Physics,1,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",Rome University
Q169577,Ernest Orlando Lawrence,male,1939,Physics,1,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",University of California
Q57072,Otto Stern,male,1943,Physics,1,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Carnegie Institute of Technology
Q165969,Isidor Isaac Rabi,male,1944,Physics,1,for his resonance method for recording the magnetic properties of atomic nuclei,Columbia University
Q65989,Wolfgang Pauli,male,1945,Physics,1,"for the discovery of the Exclusion Principle, also called the Pauli Principle",Princeton University
Q172118,Percy Williams Bridgman,male,1946,Physics,1,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",Harvard University
Q153194,Sir Edward Victor Appleton,male,1947,Physics,1,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Department of Scientific and Industrial Research
Q184499,Patrick Maynard Stuart Blackett,male,1948,Physics,1,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",Victoria University
Q155777,Hideki Yukawa,male,1949,Physics,1,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Columbia University
Q178103,Cecil Frank Powell,male,1950,Physics,1,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Bristol University
Q183631,Ernest Thomas Sinton Walton,male,1951,Physics,1/2,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Trinity College
Q62897,Sir John Douglas Cockcroft,male,1951,Physics,1/2,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Atomic Energy Research Establishment
Q183270,Edward Mills Purcell,male,1952,Physics,1/2,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Harvard University
Q123022,Felix Bloch,male,1952,Physics,1/2,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Stanford University
Q188293,Frits Zernike,male,1953,Physics,1,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",Groningen University
Q58978,Max Born,male,1954,Physics,1/2,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",Edinburgh University
Q76474,Walther Bothe,male,1954,Physics,1/2,for the coincidence method and his discoveries made therewith,University of Heidelberg
Q184571,Polykarp Kusch,male,1955,Physics,1/2,for his precision determination of the magnetic moment of the electron,Columbia University
Q186497,Willis Eugene Lamb,male,1955,Physics,1/2,for his discoveries concerning the fine structure of the hydrogen spectrum,Stanford University
Q949,John Bardeen,male,1956,Physics,1/3,for their researches on semiconductors and their discovery of the transistor effect,University of Illinois
Q184577,Walter Houser Brattain,male,1956,Physics,1/3,for their researches on semiconductors and their discovery of the transistor effect,Bell Telephone Laboratories
Q163415,William Bradford Shockley,male,1956,Physics,1/3,for their researches on semiconductors and their discovery of the transistor effect,"Semiconductor Laboratory of Beckman Instruments, Inc."
Q181369,Chen Ning Yang,male,1957,Physics,1/2,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Institute for Advanced Study
Q183679,Tsung-Dao (T.D.) Lee,male,1957,Physics,1/2,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Columbia University
Q155759,Igor Yevgenyevich Tamm,male,1958,Physics,1/3,for the discovery and the interpretation of the Cherenkov effect,Lomonosov Moscow State University
Q192703,Il´ja Mikhailovich Frank,male,1958,Physics,1/3,for the discovery and the interpretation of the Cherenkov effect,Lomonosov Moscow State University
Q76970,Pavel Alekseyevich Cherenkov,male,1958,Physics,1/3,for the discovery and the interpretation of the Cherenkov effect,P.N. Lebedev Physical Institute
Q173028,Emilio Gino Segrè,male,1959,Physics,1/2,for their discovery of the antiproton,University of California
Q183655,Owen Chamberlain,male,1959,Physics,1/2,for their discovery of the antiproton,University of California
Q80905,Donald Arthur Glaser,male,1960,Physics,1,for the invention of the bubble chamber,University of California
Q130113,Robert Hofstadter,male,1961,Physics,1/2,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,Stanford University
Q44286,Rudolf Ludwig Mössbauer,male,1961,Physics,1/2,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,Technical University
Q133267,Lev Davidovich Landau,male,1962,Physics,1,"for his pioneering theories for condensed matter, especially liquid helium",Academy of Sciences
Q155790,Eugene Paul Wigner,male,1963,Physics,1/2,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",Princeton University
Q76797,J. Hans D. Jensen,male,1963,Physics,1/4,for their discoveries concerning nuclear shell structure,University of Heidelberg
Q57100,Maria Goeppert Mayer,female,1963,Physics,1/4,for their discoveries concerning nuclear shell structure,University of California
Q83552,Aleksandr Mikhailovich Prokhorov,male,1964,Physics,1/4,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute
Q184566,Charles Hard Townes,male,1964,Physics,1/2,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Massachusetts Institute of Technology (MIT)
Q83557,Nicolay Gennadiyevich Basov,male,1964,Physics,1/4,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute
Q186465,Julian Schwinger,male,1965,Physics,1/3,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Harvard University
Q39246,Richard P. Feynman,male,1965,Physics,1/3,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",California Institute of Technology (Caltech)
Q184563,Sin-Itiro Tomonaga,male,1965,Physics,1/3,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Tokyo University of Education
Q71023,Alfred Kastler,male,1966,Physics,1,for the discovery and development of optical methods for studying Hertzian resonances in atoms,École Normale Supérieure
Q155794,Hans Albrecht Bethe,male,1967,Physics,1,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",Cornell University
Q178344,Luis Walter Alvarez,male,1968,Physics,1,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",University of California
Q172840,Murray Gell-Mann,male,1969,Physics,1,for his contributions and discoveries concerning the classification of elementary particles and their interactions,California Institute of Technology (Caltech)
Q54945,Hannes Olof Gösta Alfvén,male,1970,Physics,1/2,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,Royal Institute of Technology
Q155781,Louis Eugène Félix Néel,male,1970,Physics,1/2,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,University of Grenoble
Q155786,Dennis Gabor,male,1971,Physics,1,for his invention and development of the holographic method,Imperial College
Q949,John Bardeen,male,1972,Physics,1/3,"for their jointly developed theory of superconductivity, usually called the BCS-theory",University of Illinois
Q153201,John Robert Schrieffer,male,1972,Physics,1/3,"for their jointly developed theory of superconductivity, usually called the BCS-theory",University of Pennsylvania
Q82563,Leon Neil Cooper,male,1972,Physics,1/3,"for their jointly developed theory of superconductivity, usually called the BCS-theory",Brown University
Q181363,Brian David Josephson,male,1973,Physics,1/2,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",University of Cambridge
Q192688,Ivar Giaever,male,1973,Physics,1/4,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",General Electric Company
Q179852,Leo Esaki,male,1973,Physics,1/4,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",IBM Thomas J. Watson Research Center
Q189990,Antony Hewish,male,1974,Physics,1/2,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge
Q190766,Sir Martin Ryle,male,1974,Physics,1/2,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge
Q103854,Aage Niels Bohr,male,1975,Physics,1/3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Niels Bohr Institute
Q107423,Ben Roy Mottelson,male,1975,Physics,1/3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nordita
Q190745,Leo James Rainwater,male,1975,Physics,1/3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Columbia University
Q192106,Burton Richter,male,1976,Physics,1/2,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Stanford Linear Accelerator Center
Q192715,Samuel Chao Chung Ting,male,1976,Physics,1/2,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Massachusetts Institute of Technology (MIT)
Q193655,John Hasbrouck Van Vleck,male,1977,Physics,1/3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Harvard University
Q190770,Philip Warren Anderson,male,1977,Physics,1/3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Bell Telephone Laboratories
Q189485,Sir Nevill Francis Mott,male,1977,Physics,1/3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,University of Cambridge
Q172877,Arno Allan Penzias,male,1978,Physics,1/4,for their discovery of cosmic microwave background radiation,Bell Laboratories
Q172844,Pyotr Leonidovich Kapitsa,male,1978,Physics,1/2,for his basic inventions and discoveries in the area of low-temperature physics,Academy of Sciences
Q171034,Robert Woodrow Wilson,male,1978,Physics,1/4,for their discovery of cosmic microwave background radiation,Bell Laboratories
Q28189,Abdus Salam,male,1979,Physics,1/3,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",International Centre for Theoretical Physics
Q107420,Sheldon Lee Glashow,male,1979,Physics,1/3,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","Harvard University, Lyman Laboratory"
Q179282,Steven Weinberg,male,1979,Physics,1/3,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Harvard University
Q193496,James Watson Cronin,male,1980,Physics,1/2,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,University of Chicago
Q206499,Val Logsdon Fitch,male,1980,Physics,1/2,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Princeton University
Q190503,Arthur Leonard Schawlow,male,1981,Physics,1/4,for their contribution to the development of laser spectroscopy,Stanford University
Q192712,Kai M. Siegbahn,male,1981,Physics,1/2,for his contribution to the development of high-resolution electron spectroscopy,Uppsala University
Q189987,Nicolaas Bloembergen,male,1981,Physics,1/4,for their contribution to the development of laser spectroscopy,Harvard University
Q193503,Kenneth G. Wilson,male,1982,Physics,1,for his theory for critical phenomena in connection with phase transitions,Cornell University
Q148109,Subrahmanyan Chandrasekhar,male,1983,Physics,1/2,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,University of Chicago
Q46120,William Alfred Fowler,male,1983,Physics,1/2,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,California Institute of Technology (Caltech)
Q187199,Carlo Rubbia,male,1984,Physics,1/2,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",CERN
Q104779,Simon van der Meer,male,1984,Physics,1/2,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",CERN
Q71024,Klaus von Klitzing,male,1985,Physics,1,for the discovery of the quantized Hall effect,Max-Planck-Institut für Festkörperforschung
Q71022,Ernst Ruska,male,1986,Physics,1/2,"for his fundamental work in electron optics, and for the design of the first electron microscope",Fritz-Haber-Institut der Max-Planck-Gesellschaft
Q76766,Gerd Binnig,male,1986,Physics,1/4,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory
Q123029,Heinrich Rohrer,male,1986,Physics,1/4,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory
Q76687,J. Georg Bednorz,male,1987,Physics,1/2,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory
Q122298,K. Alexander Müller,male,1987,Physics,1/2,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory
Q153210,Jack Steinberger,male,1988,Physics,1/3,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,CERN
Q192695,Leon M. Lederman,male,1988,Physics,1/3,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Fermi National Accelerator Laboratory
Q189741,Melvin Schwartz,male,1988,Physics,1/3,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,"Digital Pathways, Inc."
Q70532,Hans G. Dehmelt,male,1989,Physics,1/4,for the development of the ion trap technique,University of Washington
Q107419,Norman F. Ramsey,male,1989,Physics,1/2,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,Harvard University
Q57227,Wolfgang Paul,male,1989,Physics,1/4,for the development of the ion trap technique,University of Bonn
Q190495,Henry W. Kendall,male,1990,Physics,1/3,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Massachusetts Institute of Technology (MIT)
Q187822,Jerome I. Friedman,male,1990,Physics,1/3,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Massachusetts Institute of Technology (MIT)
Q201470,Richard E. Taylor,male,1990,Physics,1/3,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Stanford University
Q187224,Pierre-Gilles de Gennes,male,1991,Physics,1,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",Collège de France
Q153178,Georges Charpak,male,1992,Physics,1,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",École Supérieure de Physique et Chimie
Q192685,Joseph H. Taylor Jr.,male,1993,Physics,1/2,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Princeton University
Q156286,Russell A. Hulse,male,1993,Physics,1/2,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Princeton University
Q192689,Bertram N. Brockhouse,male,1994,Physics,1/2,for the development of neutron spectroscopy,McMaster University
Q201506,Clifford G. Shull,male,1994,Physics,1/2,for the development of the neutron diffraction technique,Massachusetts Institute of Technology (MIT)
Q191922,Frederick Reines,male,1995,Physics,1/2,for the detection of the neutrino,University of California
Q107416,Martin L. Perl,male,1995,Physics,1/2,for the discovery of the tau lepton,Stanford University
Q201853,David M. Lee,male,1996,Physics,1/3,for their discovery of superfluidity in helium-3,Cornell University
Q206405,Douglas D. Osheroff,male,1996,Physics,1/3,for their discovery of superfluidity in helium-3,Stanford University
Q192708,Robert C. Richardson,male,1996,Physics,1/3,for their discovery of superfluidity in helium-3,Cornell University
Q190697,Claude Cohen-Tannoudji,male,1997,Physics,1/3,for development of methods to cool and trap atoms with laser light,Collège de France
Q172466,Steven Chu,male,1997,Physics,1/3,for development of methods to cool and trap atoms with laser light,Stanford University
Q190756,William D. Phillips,male,1997,Physics,1/3,for development of methods to cool and trap atoms with laser light,National Institute of Standards and Technology
Q202138,Daniel C. Tsui,male,1998,Physics,1/3,for their discovery of a new form of quantum fluid with fractionally charged excitations,Princeton University
Q71015,Horst L. Störmer,male,1998,Physics,1/3,for their discovery of a new form of quantum fluid with fractionally charged excitations,Columbia University
Q189997,Robert B. Laughlin,male,1998,Physics,1/3,for their discovery of a new form of quantum fluid with fractionally charged excitations,Stanford University
Q184592,Gerardus 't Hooft,male,1999,Physics,1/2,for elucidating the quantum structure of electroweak interactions in physics,Utrecht University
Q202149,Martinus J.G. Veltman,male,1999,Physics,1/2,for elucidating the quantum structure of electroweak interactions in physics,NA
Q71016,Herbert Kroemer,male,2000,Physics,1/4,for developing semiconductor heterostructures used in high-speed- and opto-electronics,University of California
Q182031,Jack S. Kilby,male,2000,Physics,1/2,for his part in the invention of the integrated circuit,Texas Instruments
